 PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  674 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 rpciod
  676 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 nfsiod
  683 root      20   0   23356    204      4 S   0.0  0.0   0:00.00 rpc.idmapd
  690 daemon    20   0   19024   1768   1600 S   0.0  0.0   0:00.00 atd
  691 root      20   0  336276   8116   6900 S   0.0  0.2   0:00.03 ModemManager
  693 root      20   0   55184   5328   4656 S   0.0  0.1   0:00.00 sshd
  695 root      20   0   27504   2720   2436 S   0.0  0.1   0:00.30 cron
  700 root      20   0   28336   2964   2604 S   0.0  0.1   0:00.96 systemd-logind
  705 avahi     20   0   32220   3020   2692 S   0.0  0.1   0:05.51 avahi-daemon
  706 message+  20   0   42388   3640   2988 S   0.0  0.1   8:03.84 dbus-daemon
  725 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:1
  736 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/2:1
  760 avahi     20   0   32100    256      0 S   0.0  0.0   0:00.00 avahi-daemon
  805 root      20   0       0      0      0 S   0.0  0.0   0:00.06 kworker/u8:0
  962 root      20   0  258672   3548   2732 S   0.0  0.1   0:01.01 rsyslogd
  964 root      20   0   86108   6532   5580 S   0.0  0.2   0:00.00 cupsd
  965 root      20   0   71704   5068   4380 S   0.0  0.1   0:00.01 cups-browsed
  966 root      20   0    4256   1696   1544 S   0.0  0.0   0:15.58 acpid
  975 root      20   0   73892   3396   2852 S   0.0  0.1   0:00.03 login
  983 root      20   0   13176   1980   1840 S   0.0  0.0   0:00.00 systemd-tty-ask
  992 root      20   0  278508   5820   5152 S   0.0  0.1   0:00.01 polkitd
 1006 Debian-+  20   0   55308   3320   2664 S   0.0  0.1   0:00.05 exim4
 1012 root      20   0  166376  17704   5880 S   0.0  0.4  16:10.82 wicd
 1018 root      20   0   87984  16016   9140 S   0.0  0.4   7:21.34 wicd-monitor
 1066 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:2
 1231 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:1
 1234 chris     20   0   35776   3940   3344 S   0.0  0.1   0:00.19 systemd
 1236 chris     20   0   52852   2404      4 S   0.0  0.1   0:00.00 (sd-pam)
 1238 chris     20   0    4336   1576   1460 S   0.0  0.0   0:00.05 startx
 1247 chris     20   0   10700    336      0 S   0.0  0.0   0:00.06 ssh-agent
 1258 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/0:3
 1259 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kworker/0:4
 1260 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:2
 1261 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:3
 1262 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:4
 1263 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:5
 1264 root      20   0       0      0      0 S   0.0  0.0   0:00.99 kworker/u8:6
 1265 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:7
 1266 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:8
 1267 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:9
 1268 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:10
 1269 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:11
 1270 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:12
 1271 chris     20   0   15952   1920   1760 S   0.0  0.0   0:00.00 xinit
 1273 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:13
 1278 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:14
 1279 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:15
 1280 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:16
 1281 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:17
